岩名,GPS経度,GPS緯度,URL,エリア名,コメント,ルート数,初登権,場所,岩画像,池亀ボルダールート,発見した日時,発見者,経度,緯度
067（仮),140;10;5.7467,36;23;44.0772,"https://www.google.co.jp/maps?q=36.395577,140.168263",谷広場（仮）,,0,発見者,,20251229_113826641.jpg,,"December 29, 2025 11:38 (GMT+9)",森　清隆,140.168263,36.395577
068（仮),140;10;4.0799,36;23;47.0652,"https://www.google.co.jp/maps?q=36.396407,140.1678",西エリア（仮）,,0,発見者,,20251229_114515322.jpg,,"December 29, 2025 11:45 (GMT+9)",森　清隆,140.1678,36.396407
069（仮),140;10;5.6496,36;23;52.2419,"https://www.google.co.jp/maps?q=36.397845,140.168236",北西エリア（仮）,,0,発見者,,20251229_122653484.jpg,,"December 29, 2025 12:27 (GMT+9)",森　清隆,140.168236,36.397845
070（仮),140;10;10.6535,36;23;52.1375,"https://www.google.co.jp/maps?q=36.397816,140.169626",その他,,0,発見者,,20251229_123747261.jpg,,"December 29, 2025 12:37 (GMT+9)",森　清隆,140.169626,36.397816
071（仮),140;10;7.0787,36;23;44.2031,"https://www.google.co.jp/maps?q=36.395612,140.168633",谷広場（仮）,,0,発見者,,20251229_130228096-min.jpg,,"December 29, 2025 13:02 (GMT+9)",森　清隆,140.168633,36.395612
072（仮),140;10;2.0567,36;23;42.0899,"https://www.google.co.jp/maps?q=36.395025,140.167238",西エリア（仮）,,0,発見者,,20251229_131254200-min.jpg,,"December 29, 2025 13:12 (GMT+9)",森　清隆,140.167238,36.395025
073（仮),140;10;1.2792,36;23;40.0884,"https://www.google.co.jp/maps?q=36.394469,140.167022",西急登（仮）,,0,発見者,,20251229_131736449-min.jpg,,"December 29, 2025 13:17 (GMT+9)",森　清隆,140.167022,36.394469
074（仮),140;10;0.7968,36;23;39.4655,"https://www.google.co.jp/maps?q=36.394296,140.166888",西急登（仮）,,0,発見者,,20251229_131841937-min.jpg,,"December 29, 2025 13:18 (GMT+9)",森　清隆,140.166888,36.394296
075（仮),140;9;57.8340,36;23;40.0235,"https://www.google.co.jp/maps?q=36.394451,140.166065",西急登（仮）,,0,発見者,,20251229_132251912-min.jpg,,"December 29, 2025 13:22 (GMT+9)",森　清隆,140.166065,36.394451
076（仮),140;10;14.3471,36;23;39.6275,"https://www.google.co.jp/maps?q=36.394341,140.170652",石垣エリア,,0,発見者,,20251229_140358696-min.jpg,,"December 29, 2025 14:03 (GMT+9)",森　清隆,140.170652,36.394341
077（仮),140;10;14.3471,36;23;39.6275,"https://www.google.co.jp/maps?q=36.394341,140.170652",石垣エリア,,0,発見者,,20251229_140404878-min.jpg,,"December 29, 2025 14:04 (GMT+9)",森　清隆,140.170652,36.394341
078（仮),140;10;14.2320,36;23;39.6996,"https://www.google.co.jp/maps?q=36.394361,140.17062",石垣エリア,,0,発見者,,20251229_140440532-min.jpg,,"December 29, 2025 14:04 (GMT+9)",森　清隆,140.17062,36.394361
079（仮),140;10;13.4760,36;23;41.0712,"https://www.google.co.jp/maps?q=36.394742,140.17041",東エリア（仮）,,0,発見者,,20251229_140702007-min.jpg,,"December 29, 2025 14:07 (GMT+9)",森　清隆,140.17041,36.394742
080（仮),140;10;12.8316,36;23;41.5211,"https://www.google.co.jp/maps?q=36.394867,140.170231",東エリア（仮）,,0,発見者,,20251229_140820788-min.jpg,,"December 29, 2025 14:08 (GMT+9)",森　清隆,140.170231,36.394867
081（仮),140;10;13.2815,36;23;41.9712,"https://www.google.co.jp/maps?q=36.394992,140.170356",東エリア（仮）,,0,発見者,,20251229_141139770-min.jpg,,"December 29, 2025 14:11 (GMT+9)",森　清隆,140.170356,36.394992
082（仮),140;10;14.8404,36;23;42.4860,"https://www.google.co.jp/maps?q=36.395135,140.170789",石垣エリア,,0,発見者,,20251229_141601743-min.jpg,,"December 29, 2025 14:16 (GMT+9)",森　清隆,140.170789,36.395135
083（仮),140;10;15.5279,36;23;43.0260,"https://www.google.co.jp/maps?q=36.395285,140.17098",石垣エリア,,0,発見者,,20251229_142045575-min.jpg,,"December 29, 2025 14:20 (GMT+9)",森　清隆,140.17098,36.395285
084（仮),140;10;15.4488,36;23;42.7487,"https://www.google.co.jp/maps?q=36.395208,140.170958",石垣エリア,,0,発見者,,20251229_142151132-min.jpg,,"December 29, 2025 14:21 (GMT+9)",森　清隆,140.170958,36.395208
085（仮),140;10;16.3343,36;23;41.4383,"https://www.google.co.jp/maps?q=36.394844,140.171204",石垣エリア,,0,発見者,,20251229_142418465-min.jpg,,"December 29, 2025 14:24 (GMT+9)",森　清隆,140.171204,36.394844
086（仮),140;10;16.1544,36;23;41.2836,"https://www.google.co.jp/maps?q=36.394801,140.171154",石垣エリア,,0,発見者,,20251229_142557808-min.jpg,,"December 29, 2025 14:25 (GMT+9)",森　清隆,140.171154,36.394801
087（仮),140;10;16.1544,36;23;41.2836,"https://www.google.co.jp/maps?q=36.394801,140.171154",石垣エリア,,0,発見者,,20251229_142611618-min.jpg,,"December 29, 2025 14:26 (GMT+9)",森　清隆,140.171154,36.394801
088（仮),140;10;15.0132,36;23;40.9919,"https://www.google.co.jp/maps?q=36.39472,140.170837",石垣エリア,,0,発見者,,20251229_142904461-min.jpg,,"December 29, 2025 14:29 (GMT+9)",森　清隆,140.170837,36.39472
089（仮),140;10;14.8367,36;23;40.2827,"https://www.google.co.jp/maps?q=36.394523,140.170788",石垣エリア,,0,発見者,,20251229_143040389-min.jpg,,"December 29, 2025 14:30 (GMT+9)",森　清隆,140.170788,36.394523
090（仮),140;10;15.0924,36;23;39.6059,"https://www.google.co.jp/maps?q=36.394335,140.170859",石垣エリア,,0,発見者,,20251229_143151874-min.jpg,,"December 29, 2025 14:31 (GMT+9)",森　清隆,140.170859,36.394335
091（仮),140;10;15.5712,36;23;38.6051,"https://www.google.co.jp/maps?q=36.394057,140.170992",石垣エリア,,0,発見者,,20251229_143309211-min.jpg,,"December 29, 2025 14:33 (GMT+9)",森　清隆,140.170992,36.394057
092（仮),140;10;12.7092,36;23;36.6863,"https://www.google.co.jp/maps?q=36.393524,140.170197",東尾根（仮）,,0,発見者,,20251229_144102387-min.jpg,,"December 29, 2025 14:41 (GMT+9)",森　清隆,140.170197,36.393524
